option,option_return,score,loss,epsilon,eval_clears
9098,-2.685190826819048,480,9.835976600646973,0.7839225,
9153,-2.718139304459536,456,17.43367576599121,0.78261625,
9209,-2.7124163906331358,341,10.212385177612305,0.78128625,
9264,0.796615573388175,459,10.762513160705566,0.77998,
9320,0.8128772248579166,447,9.801473617553711,0.7786500000000001,
9375,-2.7036134126007916,193,11.736798286437988,0.77734375,
9430,0.7954193666203986,456,10.37319278717041,0.7760375,
9485,-2.709511505690036,332,6.680055141448975,0.77473125,
9538,-2.706577278474784,338,14.336275100708008,0.7734725,
9593,0.3743486915188961,338,21.70380210876465,0.7721662499999999,
9650,0.8690681076432941,459,12.188587188720703,0.7708125,
9703,-2.668966911678986,480,18.825401306152344,0.76955375,
9754,-2.7292457404880057,341,23.59505271911621,0.7683425,
9808,-2.668966911678986,332,16.956600189208984,0.7670600000000001,
9862,0.9063051448840576,459,8.4177885055542,0.7657775,
9916,0.6694813985237691,341,8.967887878417969,0.764495,
9966,-2.7526613141061316,489,18.551753997802734,0.7633075,
10000,,,28.357486724853516,0.7625,2.6
10024,0.20979376929056176,329,13.987709045410156,0.76193,
10081,0.7570532143381352,335,14.956018447875977,0.76057625,
10134,0.7590329584024117,323,16.26378059387207,0.7593175,
10188,0.7947484526093375,486,13.920500755310059,0.758035,
10245,-2.6820109361808564,474,14.793551445007324,0.75668125,
10298,0.5416426258240984,459,9.483108520507812,0.7554225,
10352,0.5215125689277541,471,13.898092269897461,0.75414,
10409,1.027933846538218,483,12.572393417358398,0.75278625,
10466,-2.75513470096507,474,15.576780319213867,0.7514325000000001,
10521,-2.709511505690036,338,19.605510711669922,0.75012625,
10580,-2.7237483323007914,456,18.058475494384766,0.748725,
10631,0.801703250768815,335,17.06627082824707,0.74751375,
10685,-2.7209579114149407,335,12.29461669921875,0.74623125,
10742,0.982344933349937,338,23.849506378173828,0.7448775000000001,
10795,0.7240282025302035,308,14.836973190307617,0.74361875,
10851,0.7414426288183874,459,13.747445106506348,0.7422887499999999,
10908,-2.7450902393036904,465,17.056577682495117,0.740935,
10964,2.231983736094997,477,14.31338119506836,0.7396050000000001,
11017,-2.668966911678986,338,13.555071830749512,0.73834625,
11068,0.9255607524081388,456,13.49177360534668,0.737135,
11121,0.29951715806894713,471,13.96030330657959,0.73587625,
11174,1.0098803017287772,450,18.51913070678711,0.7346175,
11228,0.849685975775856,311,6.5102643966674805,0.7333350000000001,
11285,-2.665623143110087,341,9.07972240447998,0.73198125,
11338,1.9673812997912805,332,8.22713565826416,0.7307225,
11393,-2.7292457404880057,459,10.033899307250977,0.7294162500000001,
11446,-2.7501629435415467,471,8.785089492797852,0.7281575,
11506,0.7240282025302035,468,10.493145942687988,0.7267325,
11562,0.7954193666203986,468,14.443425178527832,0.7254025000000001,
11613,48.22795049943665,592,20.7811279296875,0.7241912500000001,
11670,42.66547159885799,592,13.889725685119629,0.7228375,
11727,0.6324097579042112,341,14.833587646484375,0.72148375,
11782,0.849685975775856,453,20.05160140991211,0.7201775,
11835,-2.697595564330978,338,19.55878448486328,0.71891875,
11887,-2.7717695398646587,483,11.929794311523438,0.71768375,
11939,0.744791338405667,474,20.87179183959961,0.7164487500000001,
11984,2.854505328385768,613,7.660884857177734,0.71538,
12036,-2.7006196086876684,474,16.182695388793945,0.714145,
12087,18.84376883568151,592,27.6080379486084,0.7129337499999999,
12142,2.495485436181641,335,18.2814998626709,0.7116275000000001,
12200,2.205449569814879,604,15.686955451965332,0.71025,
12254,0.776800968083244,468,18.974451065063477,0.7089675,
12305,0.1378288650237748,474,14.021368026733398,0.7077562500000001,
12362,3.8091050390540198,474,19.779644012451172,0.7064025,
12416,0.6903516935232216,447,28.382022857666016,0.70512,
12469,-2.6883389185508575,190,5.6130266189575195,0.7038612500000001,
12520,0.8503774265668611,465,21.28496742248535,0.70265,
12575,0.7827789143656322,338,19.115497589111328,0.7013437499999999,
