option,option_return,score,loss,epsilon,eval_clears
13654,34.80359935542895,444,37.16626739501953,0.6757175,
13710,-2.6945409740716952,338,33.065059661865234,0.6743875,
13761,-2.7785482127611387,480,37.08736038208008,0.67317625,
13819,1.7239446845123043,471,28.267688751220703,0.67179875,
13874,0.8872420934352171,474,36.51606369018555,0.6704925,
13924,0.849685975775856,456,38.153629302978516,0.669305,
13978,0.6527865845385313,604,35.963356018066406,0.6680225,
14026,0.5924928645408776,314,37.680755615234375,0.6668825,
14080,-2.7006196086876684,341,35.383548736572266,0.6656,
14130,0.849685975775856,595,37.1487922668457,0.6644125000000001,
14189,0.6527865845385313,320,32.3708381652832,0.66301125,
14243,0.6734481765879894,341,34.90632247924805,0.66172875,
14301,0.6578174882705139,341,38.954193115234375,0.6603512500000001,
14356,2.821220277449947,468,37.603668212890625,0.659045,
14409,0.8044411017767457,489,33.048343658447266,0.65778625,
14469,3.4955887614984364,453,35.551551818847656,0.65636125,
14522,0.32556790549294523,338,44.54145050048828,0.6551025,
14574,-2.685190826819048,483,29.754499435424805,0.6538675,
14631,0.7590329584024117,477,30.0418701171875,0.65251375,
14686,-2.7036134126007916,341,35.79920959472656,0.6512075,
14738,-2.6820109361808564,486,34.17677688598633,0.6499725000000001,
14790,0.796615573388175,601,33.9404296875,0.6487375,
14844,2.887266388489024,471,37.62954330444336,0.647455,
14901,-2.668966911678986,341,32.56645202636719,0.6461012500000001,
14954,0.5839255556846984,474,32.91497039794922,0.6448425,
15000,,,33.45902633666992,0.64375,3.1
15008,0.48906509357036726,468,37.69405746459961,0.64356,
15061,1.0343730320376756,625,32.22971725463867,0.64230125,
15111,-2.7006196086876684,489,32.83984375,0.6411137499999999,
15165,-2.75513470096507,483,37.70915985107422,0.6398312500000001,
15221,0.8879475834780748,480,34.097721099853516,0.63850125,
15277,-2.665623143110087,483,34.53477478027344,0.63717125,
15332,0.6191715516254533,453,31.31558609008789,0.6358650000000001,
15383,-2.7647833707595897,338,28.99986457824707,0.63465375,
15436,-2.691455529365349,341,24.62145233154297,0.6333949999999999,
15488,0.849685975775856,459,35.850685119628906,0.63216,
15544,0.09641543052590844,338,32.27981948852539,0.63083,
15597,-2.7785482127611387,486,36.52033996582031,0.6295712499999999,
15654,2.9651473231136,465,36.180389404296875,0.6282175000000001,
15707,-2.6820109361808564,341,42.00278091430664,0.62695875,
15762,0.7947484526093375,299,37.89902877807617,0.6256525,
15813,0.41929809838447923,450,36.32017517089844,0.6244412500000001,
15865,0.48224263495184616,341,37.42675018310547,0.62320625,
15919,0.24831099696756997,474,32.3858757019043,0.62192375,
15973,-2.7319532830831257,341,29.23451805114746,0.62064125,
16029,32.639341363171695,592,32.552162170410156,0.61931125,
16084,0.8872420934352171,604,31.098482131958008,0.618005,
16137,-2.668966911678986,341,35.962257385253906,0.61674625,
16191,-2.709511505690036,489,34.73685073852539,0.61546375,
16248,36.25347909690389,444,32.5223388671875,0.6141099999999999,
16303,1.9686390899682644,474,31.86796760559082,0.61280375,
16351,-2.7036134126007916,456,39.29470443725586,0.61166375,
16409,0.7555193124253204,329,29.47391700744629,0.61028625,
16462,-2.776311326021352,341,35.85638427734375,0.6090275,
16515,-2.691455529365349,338,36.47590637207031,0.60776875,
16566,-2.691455529365349,338,35.474037170410156,0.6065575000000001,
16621,-2.706577278474784,338,30.229801177978516,0.60525125,
16674,0.8311891160180975,462,38.61402130126953,0.6039925,
16726,0.6897200412998525,447,28.219146728515625,0.6027575000000001,
16781,0.9063051448840576,474,31.318714141845703,0.60145125,
16835,-2.7152922267268043,477,33.12771224975586,0.60016875,
16894,0.7414426288183874,465,35.54106521606445,0.5987675,
16944,0.6527865845385313,459,28.384559631347656,0.59758,
16999,0.8267138838804594,468,41.92315673828125,0.59627375,
17059,0.6734481765879894,480,35.49399185180664,0.59484875,
17114,0.5572147735596952,341,33.43001937866211,0.5935425000000001,
17175,0.7033786333269759,480,35.17527770996094,0.5920937500000001,
17229,2.4018277829000625,471,33.49930191040039,0.59081125,
17280,0.6520472927512021,459,32.5526237487793,0.5896,
17334,-2.6820109361808564,335,35.3704833984375,0.5883175,
17387,-2.6787989254352085,483,33.88088607788086,0.58705875,
17441,-2.7575833539554195,338,34.64741897583008,0.58577625,
17494,-2.691455529365349,489,32.323734283447266,0.5845175,
17546,0.849685975775856,601,31.59173583984375,0.5832825,
17602,42.253939127431686,444,31.05938720703125,0.5819525000000001,
17659,0.796615573388175,601,35.146148681640625,0.58059875,
17716,-2.6883389185508575,335,33.51512145996094,0.579245,
17774,-2.7036134126007916,335,35.30493927001953,0.5778675,
17831,0.7608629234777504,468,33.75069046020508,0.57651375,
17886,0.7590329584024117,338,33.69881820678711,0.5752075000000001,
17944,-2.697595564330978,341,35.26032257080078,0.5738300000000001,
18003,-2.685190826819048,341,34.61079406738281,0.57242875,
18060,-2.7292457404880057,483,31.91285514831543,0.571075,
18114,1.3940880002502423,456,35.658870697021484,0.5697925,
18167,2.6813783200491654,483,31.545391082763672,0.5685337500000001,
18222,1.218495908204509,489,33.051544189453125,0.5672275,
18280,0.6863448469937061,459,29.67192840576172,0.56585,
18334,-2.668966911678986,489,29.119964599609375,0.5645675000000001,
18386,0.6687346391426284,462,29.069053649902344,0.5633325,
18441,-2.691455529365349,338,28.272045135498047,0.56202625,
18498,0.08696332221362951,462,35.709163665771484,0.5606725,
18555,0.8135549157781804,486,34.33785629272461,0.5593187500000001,
18610,0.7596905212246526,489,32.4279899597168,0.5580125,
18663,-2.668966911678986,486,32.70737838745117,0.5567537499999999,
18718,-2.668966911678986,468,33.17924880981445,0.5554475000000001,
